date,Russell 2000 Index (RUT) - Index Value,CBOE Volatility S&P 500 Index (^VIX) - Index Value,S&P 500 (^SPX) - Index Value,NASDAQ Composite Index (^COMP) - Index Value,Dow Jones Industrial Average (^DJI) - Index Value,News Sentiment,S&P U.S. Treasury Bill 0-3 Month Index,S&P U.S. Treasury Bond 10+ Year Index,S&P U.S. TIPS 5+ Year Index (USD),S&P U.S. Treasury Bond 1-3 Year Index,S&P Canada Treasury Bill Index,S&P U.S. Treasury Bond Current 30-Year Index,S&P U.S. Treasury Bond Current 5-Year Index,S&P Short Term Taxable Municipal Bond Index,S&P Taxable Municipal Bond Index,S&P U.S. Treasury Bond Current 2-Year Index,S&P U.S. Treasury Bond 7-10 Year Index,S&P U.S. TIPS 0-1 Year Index (USD),S&P U.S. Treasury Bond 20+ Year Index,S&P U.S. Government & Corporate AAA-AA 1+ Year Bond Index,S&P Municipal Yield Index,S&P U.S. Treasury Bond Current 7-Year Index,S&P U.S. Treasury Bond Current 10-Year Index,S&P U.S. Treasury Bill 9-12 Month Index,S&P U.S. Treasury Bond Current 3-Year Index,S&P U.S. TIPS 30 Year Index (USD),S&P U.S. Ultra Short Treasury Bill & Bond Index (USD),S&P U.S. TIPS 15+ Year Index (USD),S&P U.S. Treasury Bond 5-7 Year Index,S&P U.S. TIPS 10+ Year Index (USD),S&P U.S. Treasury Bill 3-6 Month Index,S&P U.S. Treasury Bond 7-10 Year Index (TTM JPY),S&P U.S. TIPS 7-10 Year Index (USD),S&P U.S. Treasury Bond 3-5 Year Index,S&P U.S. TIPS 3-5 Year Index (USD),S&P U.S. TIPS 1-3 Year Index (USD),S&P U.S. TIPS 5-7 Year Index (USD),S&P U.S. Treasury Bill 6-9 Month Index
2016-01-04,1108.625,20.7,2012.659371248033,4903.09,17148.93877174752,0.1814446598291397,215.95,766.83,228.54,311.84,114.67,667.81,420.36,107.87,151.17,305.8,570.52,115.01,800.87,,178.19,134.08,495.38,205.16,139.78,263.82,100.53,257.44,510.47,255.73,236.35,179.55,215.95,431.96,176.23,134.11,198.82,229.3
2016-01-05,1110.439,19.34,2016.7144265542436,4891.43,17158.663381711092,0.145577073097229,215.95,763.56,228.42,311.78,114.67,664.35,420.28,107.88,151.07,305.81,570.27,115.01,797.14,,178.39,134.11,494.95,205.18,139.77,262.49,100.53,256.47,510.6,255.26,236.37,178.44,215.97,431.98,176.26,134.11,198.87,229.33
2016-01-06,1094.366,20.59,1990.2622927555194,4835.77,16906.508354345784,0.14155347645282745,215.94,773.24,229.52,312.01,114.68,673.62,421.81,107.91,152.01,306.08,573.49,114.89,807.83,,178.71,134.77,498.14,205.19,139.98,265.64,100.54,259.21,512.73,257.29,236.36,178.01,216.77,433.12,176.42,134.04,199.31,229.32
2016-01-07,1064.566,24.99,1943.0937024861341,4689.43,16514.099797365005,0.11637140810489655,215.94,774.71,229.12,312.16,114.68,675.02,422.7,107.92,152.1,306.28,574.54,114.9,809.34,,178.79,135.07,499.25,205.2,140.14,262.66,100.54,257.04,513.89,255.99,236.36,178.48,216.63,433.88,176.6,134.08,199.5,229.33
2016-01-08,1046.202,27.01,1922.034792673984,4643.63,16346.453000246518,0.10987523943185806,215.95,777.64,229.51,312.3,114.68,677.98,423.73,107.93,152.44,306.37,576.37,114.89,812.48,,178.85,135.48,500.88,205.22,140.27,263.19,100.55,257.54,515.25,256.45,236.38,177.63,217.0,434.64,176.79,134.11,199.82,229.35
2016-01-11,1041.896,24.3,1923.6748213449537,4637.99,16398.568691671015,0.12215045094490051,215.94,770.14,227.69,312.33,114.69,669.75,423.17,107.94,151.95,306.41,574.55,114.84,804.12,,178.85,135.16,498.45,205.24,140.25,257.86,100.55,253.06,514.34,253.27,236.38,178.2,215.58,434.28,176.42,133.98,199.01,229.37
2016-01-12,1044.697,22.47,1938.6789320654627,4685.92,16516.22277559649,0.10389073193073273,215.94,780.49,228.54,312.39,114.69,680.36,423.97,107.94,152.62,306.44,576.8,114.83,815.74,,178.9,135.66,500.87,205.24,140.33,261.06,100.55,255.7,515.62,255.03,236.38,177.54,216.12,434.85,176.51,133.97,199.3,229.36
2016-01-13,1010.187,25.22,1890.278914817773,4526.07,16151.412935625007,0.1012536957859993,215.94,787.81,229.37,312.56,114.69,687.36,424.87,107.95,153.21,306.59,579.33,114.8,823.85,,178.85,136.06,503.36,205.28,140.47,263.24,100.55,257.65,517.05,256.51,236.38,178.4,216.75,435.66,176.7,133.98,199.69,229.37
2016-01-14,1025.667,23.95,1921.8357608706003,4615.0,16379.050988575113,0.09675043076276779,215.94,780.88,228.99,312.64,114.7,680.27,424.71,107.96,152.74,306.65,577.93,114.82,816.01,,178.71,135.81,501.93,205.36,140.5,260.96,100.56,255.76,516.55,255.31,236.39,178.68,216.62,435.6,176.88,134.05,199.79,229.41
2016-01-15,1007.725,27.02,1880.327796386703,4488.42,15988.080578138244,0.0888180062174797,215.95,792.4,229.05,312.99,114.75,692.19,425.99,107.98,153.56,307.01,580.92,114.78,828.92,,178.84,136.5,504.9,205.47,140.73,262.53,100.58,257.01,518.65,255.95,236.43,179.13,216.46,436.66,176.67,133.96,199.61,229.51
